Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW,onsh_WIND
1453,3,14,61,0.712106897,1,0,0.805125935,0.319595105,0.997827533,0.505667906,0.870314549,0.681914844,0.424807549,0.403277516,0.400954842,0.458956033,0.458956034,0.331472456,0.389912664,0.265727758,0.668980705
1454,3,15,61,0.73831592,1,0,0.805125935,0.204378898,0.948709694,0.561183053,0.864962819,0.68902156,0.335990727,0.360437989,0.338803888,0.443667293,0.443667293,0.346464365,0.367997824,0.278983176,0.655490368
1455,3,16,61,0.746474501,1,0,0.891464507,0.067048802,0.882039292,0.574276037,0.965588462,0.685256641,0.250847339,0.269060999,0.283593774,0.361756682,0.361756682,0.303215563,0.358474464,0.277597755,0.642757697
1456,3,17,61,0.756678055,0.999409873,0.015026178,0.993394104,0.062491098,0.85175512,0.700067974,0.782840549,0.689109124,0.202958196,0.189200833,0.221259027,0.363996029,0.363996028,0.275241136,0.262061566,0.255950004,0.645350089
1457,3,18,61,0.718682304,0.999830394,0.020662036,0.931023164,0.061036242,0.861691855,0.636055061,0.498006207,0.671540057,0.153095246,0.129648804,0.131788611,0.369800925,0.369800925,0.270959437,0.289128541,0.217755199,0.608826633
1458,3,19,61,0.706973266,0.995163861,0.05081678,0.750139742,0.050863536,0.797038964,0.164109667,0.413725498,0.696028294,0.064288296,0.092701703,0.02633133,0.388385594,0.388385594,0.137893856,0.193184465,0.127817497,0.564997546
1459,3,20,61,0.723075114,0.992552727,0.092196911,0.805125935,0.050863536,0.792651283,0.140371989,0.425489999,0.728718319,0.000916692,0.086741909,0,0.317940712,0.317940712,0.021533277,0.076717689,0.122741476,0.581503822
1460,3,21,61,0.735410356,0.990361045,0.141698394,0.805125935,0.050863536,0.812478126,0.382995254,0.633069877,0.753069331,0.016700266,0.033920203,0,0.294317663,0.294317662,0,0.040160782,0.116930485,0.618492218
1461,3,22,61,0.778214169,0.967844542,0.425397419,0.908573867,0.143973637,0.841371122,0.675749162,0.818175558,0.790991053,0.074227728,0.015294786,0.358446956,0.287739218,0.287739217,0,0.015600936,0.156192303,0.698157078
1462,3,23,61,0.847254608,0.87753615,0.678429921,0.863072256,0.258122991,0.894185557,0.70334449,0.884831529,0.778138156,0.006205424,0.381682277,0.36876592,0.325196326,0.325196325,0,0,0.132833004,0.734830769
1463,3,24,61,0.90863974,0.888618396,0.694041488,0.906311791,0.474781424,0.954554905,0.978861197,0.913840176,0.79295388,0.308235049,0.523074507,0.552882433,0.265349388,0.265349388,0,0,0.117950768,0.808746266
1464,3,1,62,0.905003022,0.932189817,0.704275235,0.992554226,0.654799509,0.982967781,0.946220132,0.971750767,0.743478684,0.270473003,0.247787237,0.657783388,0.244682297,0.244682297,0,0.024283901,0.233418285,0.839932128
1465,3,2,62,0.917968045,0.940688724,0.675159729,0.99422795,0.900910839,0.955658763,1,0.993149924,0.624925693,0.266161263,0.535972954,0.487377703,0.401661694,0.401661694,0.003814361,0.021250602,0.300171852,0.852250285
